name_coin,symbol_coin,id,uuid,number_of_markets,volume,market_cap,total_supply,price,percent_change_24hr,timestamp
NEAR Protocol,NEAR,0,DCrsaMv68,0,177317513,1261635718,0,2.0755901668762755,-5.09,1682040365
PancakeSwap,CAKE,0,ncYFcP709,0,42184133,1188217354,0,3.417652304205936,-2.00,1682040365
Cronos,CRO,0,65PHZTpmE55b,0,29218845,1119264442,0,0.06846627577589894,-0.30,1682040365
Baby Doge Coin,BABYDOGE,0,JY1_q2c0g,0,17187509,1096513557,0,3.105045024e-9,-9.52,1682040365
Bitcoin,BTC,0,Qwsogvtv82FCd,0,19339610162,548680076316,0,28547.8525229212,-2.16,1682040370
Ethereum,ETH,0,razxDUgYGNAdQ,0,10752300805,240248321529,0,1968.8299421816666,0.13,1682040370
Tether USD,USDT,0,HIVsRcGKkPFtW,0,73416213624,66203419140,0,1.0128626629793804,0.10,1682040370
BNB,BNB,0,WcwrkfNI4FUAe,0,610322231,46151522744,0,323.15496300003554,-1.77,1682040370
USDC,USDC,0,aKzUVe4Hh_CON,0,3380877903,44256254071,0,1.0109250930197538,-0.02,1682040370
XRP,XRP,0,-l8Mn2pVlRs-p,0,1534515005,24092663264,0,0.4789914297731426,-3.92,1682040370
Cardano,ADA,0,qzawljRxB5bYu,0,473326983,14239019144,0,0.4063064825244946,-4.04,1682040370
OKB,OKB,0,PDKcptVnzJTmN,0,75428289,12930990631,0,53.5544542931001,-1.22,1682040370
Dogecoin,DOGE,0,a91GCGd_u96cF,0,1975266896,11634250880,0,0.08502223390488914,-8.39,1682040370
Polygon,MATIC,0,uW2tk-ILY0ii,0,356717084,9789870639,0,1.0629708084150677,-3.47,1682040370
Solana,SOL,0,zNZHO_Sjf,0,656372664,8174299630,0,22.508972841760503,-3.09,1682040370
Wrapped Ether,WETH,0,Mtfb0obXVh59u,0,245497846,7880465948,0,1989.5156857318375,3.71,1682040370
Chainlink,LINK,0,VLqpJwogdhHNb,0,511259612,7637916479,0,7.638607964004824,-3.52,1682040370
Polkadot,DOT,0,25W7FG7om,0,286552293,7554749428,0,6.20257677082323,-3.90,1682040370
Binance USD,BUSD,0,vSo2fu9iE1s0Y,0,3724096069,6681849976,0,1.0150464709050577,0.21,1682040370
Litecoin,LTC,0,D7B1x_ks7WhV5,0,878190865,6466576609,0,91.25165429800292,-0.39,1682040370
Shiba Inu,SHIB,0,xz24e0BjL,0,323219165,6370831862,0,0.000010806371256036,-2.60,1682040370
TRON,TRX,0,qUhEFk1I61atv,0,316172642,6124388467,0,0.0664621981272131,-1.11,1682040370
Avalanche,AVAX,0,dvUj0CzDZ,0,316863341,5603428103,0,18.633308318225666,-3.18,1682040370
Dai,DAI,0,MoTuySvg7,0,75755893,5040632915,0,1.011327253266908,-0.05,1682040370
Uniswap,UNI,0,_H5FVG9iW,0,94287764,4724388346,0,5.881101010759435,-1.09,1682040370
Wrapped BTC,WBTC,0,x4WXHge-vvFY,0,58774749,4567035611,0,28581.13241113327,-2.04,1682040370
Cosmos,ATOM,0,Knsels4_Ol-Ny,0,181166301,3796117119,0,11.534930739981114,-3.61,1682040370
Toncoin,TON,0,67YlI0K1b,0,21519098,3384311228,0,2.2966415274005185,-0.28,1682040370
Wrapped liquid staked Ether 2.0,WSTETH,0,CiixT63n3,0,10721001,3125461101,0,2211.9356337700538,2.57,1682040370
Monero,XMR,0,3mVx2FX_iJFp5,0,103256484,2842081375,0,156.09995692659973,-0.31,1682040370
Ethereum Classic,ETC,0,hnfQfsYfeIGUQ,0,310186864,2814784477,0,20.369438702314444,-1.59,1682040370
Internet Computer (DFINITY),ICP,0,aMNLwaUbY,0,70478610,2584008495,0,5.954628469834792,-4.34,1682040370
Lido DAO Token,LDO,0,Pe93bIOD2,0,79623887,2549905666,0,2.179680910215237,-4.66,1682040370
Bitcoin Cash,BCH,0,ZlZpzOJo43mIo,0,148701283,2389623421,0,124.90583195707508,-1.75,1682040370
Immutable X,IMX,0,Z96jIvLU7,0,54478586,1980986091,0,0.9904930475806142,-5.72,1682040370
Stellar,XLM,0,f3iaFeCKEmkaZ,0,62454567,1953497782,0,0.09668137407757399,-2.17,1682040370
ARBITRUM,ARB,0,1Uo6s62Oc,0,1180905742,1870103783,0,1.4667480648119249,-4.78,1682040370
Filecoin,FIL,0,ymQub4fuB,0,262511429,1853369539,0,5.661353995686454,-2.67,1682040370
Huobi Token,HT,0,DXwP4wF9ksbBO,0,7599574,1848671315,0,3.697342647349759,-1.24,1682040370
Frax Share,FXS,0,3nNpuxHJ8,0,44945929,1609975350,0,9.205293484516247,1.19,1682040370
VeChain,VET,0,FEbS54wxo4oIl,0,84796156,1567151634,0,0.023474149683198223,-3.65,1682040370
Hedera,HBAR,0,jad286TjB,0,53199784,1550875238,0,0.06269145543498354,-1.55,1682040370
Trust Wallet Token,TWT,0,Hm3OlynlC,0,29017328,1526273671,0,1.2572290065470182,-2.73,1682040370
